sid	stu_name	email	init_edollars	type	pid
S1171870D	Honor Corbett	honor.2017@smu.edu.sg	163.47	SM	BAcc
S6677292K	Alejandro Carpenter	alejandro.2014@smu.edu.sg	163.5	DD	BSIS
G7953899F	Fathima Villa	fathima.2014@smu.edu.sg	163.93	DD	BBM
S6722777A	Byron Prosser	byron.2016@smu.edu.sg	200	DD	BBM
S4611545K	Xanthe Salas	xanthe.2017@smu.edu.sg	164.5	SM	BSS
G7853180H	Cassius Steele	cassius.2014@smu.edu.sg	164.67		BBM
S1467134N	Iolo Bishop	iolo.2015@smu.edu.sg	164.71	DD	BSS
S6129683O	Muhammad Leblanc	muhammad.2014@smu.edu.sg	164.89	DD	BAcc
G1552624G	Cydney Hall	cydney.2017@smu.edu.sg	164.94		BAcc
G8180893W	Aston Sawyer	aston.2016@smu.edu.sg	270	DD	BSIS
S4880835F	Umer Pemberton	umer.2014@smu.edu.sg	165.38		BL
G5252977C	Merryn Rodriguez	merryn.2017@smu.edu.sg	165.4		BBM
G8028509V	Chloe-Ann Hunter	chloe-ann.2015@smu.edu.sg	165.41		BBM
S5538436C	Sanjay Lancaster	sanjay.2014@smu.edu.sg	165.94	SM	BSS
S7700462D	Zaki Bryan	zaki.2014@smu.edu.sg	166.2		BL
S8178408S	Shelley Workman	shelley.2014@smu.edu.sg	166.28		BSIS
S3102693F	Murtaza Mcleod	murtaza.2016@smu.edu.sg	166.35	SM	BSEcons
S9304914L	Patricia Thorpe	patricia.2014@smu.edu.sg	166.48	DD	BSEcons
G6579734V	Alaya Hickman	alaya.2014@smu.edu.sg	166.67		BL
S6144774G	Felix Mckinney	felix.2014@smu.edu.sg	167.02	SM	BSIS
G2047950A	Elsie Pace	elsie.2017@smu.edu.sg	167.23		BL
S1714992N	Kunal Martin	kunal.2014@smu.edu.sg	167.24		BBM
G2689289H	Fleur Head	fleur.2014@smu.edu.sg	167.29		BL
G8417341R	Bobbi Elliott	bobbi.2014@smu.edu.sg	167.39	DD	BSS
S3440961W	Ella-Mai Sweeney	ella-mai.2016@smu.edu.sg	167.4		BSS
S5287815D	Cherish Prince	cherish.2014@smu.edu.sg	167.81	DD	BSS
G8053732D	Ellie-May Charlton	ellie-may.2016@smu.edu.sg	167.86		BBM
S1673200D	Jules Delaney	jules.2016@smu.edu.sg	167.98		BSS
S3561314T	Asad Bauer	asad.2014@smu.edu.sg	167.98	SM	BSS
G2411597J	Zidan Whittington	zidan.2014@smu.edu.sg	168.1		BL
S3772133W	Brenna Horner	brenna.2014@smu.edu.sg	168.14	DD	BAcc
S5837940S	Sumayyah Rodrigues	sumayyah.2014@smu.edu.sg	168.24	SM	BSEcons
G3424178I	Beatriz Alexander	beatriz.2015@smu.edu.sg	168.66	SM	BSS
S5976977Y	Rhianne Parks	rhianne.2017@smu.edu.sg	168.71	SM	BAcc
G4983445C	Jarrod Stamp	jarrod.2014@smu.edu.sg	168.74	DD	BSIS
S8269259T	Borys Parks	borys.2014@smu.edu.sg	169.01		BL
G7207732J	Stefania Osborn	stefania.2017@smu.edu.sg	169.12	SM	BAcc
S1614885E	Lily-Rose Owen	lily-rose.2016@smu.edu.sg	169.55	DD	BL
G5789654T	Mark Hart	mark.2017@smu.edu.sg	170		BSCS
G6195163L	Ibrahim Davenport	ibrahim.2015@smu.edu.sg	221.46	DD	BBM
S8608988E	Renee Alexander	renee.2016@smu.edu.sg	170.96		BSEcons
G5135295X	Cynthia Madden	cynthia.2015@smu.edu.sg	171.08		BL
G3068906B	Asif Williamson	asif.2016@smu.edu.sg	171.29	SM	BSEcons
G7723713W	Lea Goldsmith	lea.2014@smu.edu.sg	171.41	SM	BAcc
S7152636R	Trixie Ramsey	trixie.2017@smu.edu.sg	171.47		BBM
G4240802W	Jagoda Estrada	jagoda.2015@smu.edu.sg	171.47		BSS
S6543646K	Glen Xiong	glen.2014@smu.edu.sg	171.53		BSS
G5674435N	Colby Hardy	colby.2016@smu.edu.sg	171.95	DD	BSS
G2709078J	Haseeb Woodard	haseeb.2016@smu.edu.sg	172.06		BSS
S5477437K	Omer Proctor	omer.2017@smu.edu.sg	172.36	DD	BSS
G7778470U	Colette Rasmussen	colette.2014@smu.edu.sg	172.53		BAcc
G9735346F	Khadijah Lowry	khadijah.2017@smu.edu.sg	172.74	DD	BSS
S7166592O	Jace Mcgee	jace.2017@smu.edu.sg	172.82		BSIS
S8870419F	Rosa Williams	rosa.2015@smu.edu.sg	173.16	SM	BSIS
G1308581G	Leigh Pike	leigh.2016@smu.edu.sg	173.58	SM	BSEcons
S8199304O	Zoha Harrison	zoha.2016@smu.edu.sg	300	SM	BL
S8320553I	Shayna Arias	shayna.2014@smu.edu.sg	173.94	DD	BL
G5348713G	Isra Mcintosh	isra.2016@smu.edu.sg	173.96	SM	BAcc
S8101925Y	Yosef Milner	yosef.2014@smu.edu.sg	174.14	SM	BL
S4420150L	Elwood Barton	elwood.2014@smu.edu.sg	174.24	SM	BAcc
G9820450X	Keira Reader	keira.2014@smu.edu.sg	174.33	SM	BAcc
G2325249V	Tianna Squires	tianna.2017@smu.edu.sg	174.38	DD	BL
G8245979V	Ema Wormald	ema.2016@smu.edu.sg	174.69		BL
G5410327J	Nicolle Terry	nicolle.2016@smu.edu.sg	174.7		BSIS
S8494550Z	Monet Guzman	monet.2015@smu.edu.sg	174.93		BSIS
S5656789J	Fathima Lilac	fathima.2016@smu.edu.sg	175		BSCS
G3644923K	Primrose Ryder	primrose.2017@smu.edu.sg	175.11	SM	BSEcons
S5097653C	Diya Howells	diya.2014@smu.edu.sg	175.99	DD	BAcc
S6351084H	River Cherry	river.2017@smu.edu.sg	175.99	SM	BSEcons
S5015412I	Kylo Knott	kylo.2015@smu.edu.sg	176.14		BSEcons
S3153717N	Hallam Sexton	hallam.2016@smu.edu.sg	176.28	SM	BSIS
S5145550L	Malaki Rhodes	malaki.2014@smu.edu.sg	176.48	DD	BSEcons
G5219950V	Kylo Kline	kylo.2014@smu.edu.sg	176.94	SM	BSEcons
G7908128V	Imaan Barajas	imaan.2015@smu.edu.sg	176.99		BSIS
S6098176Y	Joe Parks	joe.2016@smu.edu.sg	177.2	SM	BSEcons
G8116961G	Cade James	cade.2014@smu.edu.sg	177.3		BBM
S9259370O	Kristie Brandt	kristie.2016@smu.edu.sg	177.59		BAcc
S3155752X	Clinton Kaufman	clinton.2014@smu.edu.sg	177.93		BSIS
G2783985B	Lia Hogg	lia.2015@smu.edu.sg	178	DD	BSS
G3159184K	Korban Gray	korban.2014@smu.edu.sg	179	SM	BSIS
S8245166J	Lacie-Mae Sheehan	lacie-mae.2017@smu.edu.sg	179.08	SM	BSIS
G1909981S	Aleksandra Schmitt	aleksandra.2014@smu.edu.sg	179.13	SM	BSEcons
S5791335N	Lola-Mae Sanderson	lola-mae.2017@smu.edu.sg	179.14	SM	BSEcons
G9702766L	Millie Crawford	millie.2014@smu.edu.sg	179.5	SM	BBM
S8063232P	Amayah Franco	amayah.2014@smu.edu.sg	179.75		BBM
S3440656E	Conrad Ventura	conrad.2016@smu.edu.sg	179.78		BAcc
G3935262C	Arnold Miranda	arnold.2016@smu.edu.sg	179.82	SM	BSIS
S5909460E	Karol Jordan	karol.2016@smu.edu.sg	179.93		BAcc
G7161414V	Artur Velasquez	artur.2015@smu.edu.sg	180.2	SM	BSEcons
G6880305J	Kayley Thompson	kayley.2014@smu.edu.sg	180.32		BSIS
S5342323B	Timur Wolf	timur.2016@smu.edu.sg	180.77		BBM
S4257813A	Fay Elliott	fay.2016@smu.edu.sg	180.79		BBM
G9557499X	Phoenix Herbert	phoenix.2014@smu.edu.sg	230	DD	BL
G5746978R	Fearne Hensley	fearne.2014@smu.edu.sg	181.03	SM	BL
G7143957J	Berat Storey	berat.2016@smu.edu.sg	181.29		BBM
S2057420T	Kacey Cabrera	kacey.2014@smu.edu.sg	249.26	DD	BSEcons
S4762279V	Chantel Mac	chantel.2015@smu.edu.sg	420	DD	BSIS
G6068615K	Reef Corbett	reef.2014@smu.edu.sg	181.44		BBM
S3592325D	Aras Robertson	aras.2016@smu.edu.sg	181.66	SM	BAcc
G3214004W	Carrie Kirkland	carrie.2014@smu.edu.sg	181.82	SM	BSEcons
S6403940Q	Ezra Berg	ezra.2017@smu.edu.sg	181.91		BSIS
G1966430Q	Dean Hagan	dean.2015@smu.edu.sg	182.1		BBM
G6339806T	Daniaal Mckay	daniaal.2014@smu.edu.sg	182.16		BL
G5647359J	Beulah Snider	beulah.2015@smu.edu.sg	182.42		BL
S5539960C	Chance Devlin	chance.2016@smu.edu.sg	183.44	SM	BSEcons
G9475767T	Roland Ho	roland.2014@smu.edu.sg	183.58		BSS
G4168795E	Joey Berry	joey.2014@smu.edu.sg	183.59		BSS
G8518647I	Ricardo Hughes	ricardo.2014@smu.edu.sg	183.77		BBM
S9965813Z	Myles Busby	myles.2014@smu.edu.sg	183.79	DD	BBM
G5006516O	Uma O'Moore	uma.2016@smu.edu.sg	183.83		BBM
G1614836Y	Betty Mccall	betty.2017@smu.edu.sg	183.95	DD	BBM
S9483160X	Lily-Mai Mckay	lily-mai.2014@smu.edu.sg	184.23	SM	BAcc
S6500297F	Mattie Osborne	mattie.2017@smu.edu.sg	184.51	SM	BSS
S8838938T	Tiernan Lucero	tiernan.2014@smu.edu.sg	184.53	SM	BL
S4285563K	Miguel Vincent	miguel.2015@smu.edu.sg	184.66	DD	BSEcons
G7769784B	Marek Villanueva	marek.2017@smu.edu.sg	184.74		BBM
G1887410D	Thea Parkes	thea.2017@smu.edu.sg	184.82	SM	BBM
G1478563F	Eamon Curry	eamon.2015@smu.edu.sg	184.94	SM	BSEcons
G7952433B	Freddy Mercer	freddy.2016@smu.edu.sg	185.04		BSIS
G8643087M	Cordelia England	cordelia.2016@smu.edu.sg	185.1		BSS
S7384731A	Gloria Farley	gloria.2014@smu.edu.sg	185.39	SM	BL
G9517007B	Jak Whitmore	jak.2017@smu.edu.sg	185.41		BSEcons
G4099153A	Lee Hutchinson	lee.2014@smu.edu.sg	185.51	SM	BSEcons
G6990394R	Nicolas Bradshaw	nicolas.2017@smu.edu.sg	185.52		BSS
S3724818O	Sunil Ventura	sunil.2014@smu.edu.sg	185.53	SM	BSEcons
S4561263N	Elsie-Rose Hagan	elsie-rose.2015@smu.edu.sg	185.76	SM	BAcc
S2819899Q	Anita Head	anita.2014@smu.edu.sg	185.84		BAcc
G1457458A	Zuzanna Patrick	zuzanna.2016@smu.edu.sg	185.98		BBM
G2604877Z	Rahma Perry	rahma.2017@smu.edu.sg	186.03	SM	BSEcons
G2093194D	Emilis Rees	emilis.2015@smu.edu.sg	186.35	SM	BSS
G8709277V	Margaux Wynn	margaux.2015@smu.edu.sg	186.39		BBM
S1731326X	Farrah Thatcher	farrah.2017@smu.edu.sg	186.59		BL
G5846775M	Bryson Mercer	bryson.2015@smu.edu.sg	186.6		BSS
G6870249K	Tyrique Mcmillan	tyrique.2016@smu.edu.sg	186.64	SM	BSEcons
S7142012N	Tyreese Cottrell	tyreese.2017@smu.edu.sg	186.86		BAcc
S4707322L	Kalum Marshall	kalum.2015@smu.edu.sg	187.02	SM	BSEcons
G4371313E	Herbert Rodgers	herbert.2017@smu.edu.sg	187.41		BSIS
S1528463R	Stephan Benson	stephan.2014@smu.edu.sg	187.56		BL
S5577235C	Maximilian Riddle	maximilian.2015@smu.edu.sg	188		BSEcons
S7528039A	Rida Emerson	rida.2014@smu.edu.sg	188.02		BL
S7259169X	Annalise Bowers	annalise.2014@smu.edu.sg	250	SM	BSIS
S7904420H	Kris Fountain	kris.2015@smu.edu.sg	188.1	DD	BL
S1809079J	Abdullah Sutton	abdullah.2015@smu.edu.sg	188.27		BSS
S9451990D	Liya Faulkner	liya.2015@smu.edu.sg	188.51		BAcc
G6802248F	Ross Mueller	ross.2016@smu.edu.sg	188.95		BBM
G1749147V	Hendrix Vega	hendrix.2015@smu.edu.sg	189.03		BBM
S4750609W	Sabah Milne	sabah.2015@smu.edu.sg	189.07	SM	BBM
G7078203Z	Madina Hughes	madina.2015@smu.edu.sg	189.21		BBM
G3451278B	Kie Parks	kie.2017@smu.edu.sg	189.22		BBM
S4581309O	Miguel Waller	miguel.2014@smu.edu.sg	189.26		BAcc
S7134444Z	Ismaeel Davies	ismaeel.2015@smu.edu.sg	189.41		BSIS
S6047788O	Jak Mcclain	jak.2014@smu.edu.sg	189.9		BBM
S8037494C	Deen Mitchell	deen.2014@smu.edu.sg	190.25		BSS
S3612014K	Sohaib Ferguson	sohaib.2017@smu.edu.sg	240	SM	BL
S8890383P	Taylah Betts	taylah.2014@smu.edu.sg	190.42		BBM
G8991351E	Evelyn Costa	evelyn.2015@smu.edu.sg	190.49		BSS
G1510855W	Dario Witt	dario.2015@smu.edu.sg	190.7	DD	BAcc
S9752518H	Aniela Robbins	aniela.2017@smu.edu.sg	190.75	DD	BBM
G6538345N	Geraldine Carlson	geraldine.2014@smu.edu.sg	190.91	SM	BSIS
G1628054E	Indiana Thompson	indiana.2016@smu.edu.sg	240	DD	BBM
G8437746O	Lily-Anne Glenn	lily-anne.2016@smu.edu.sg	191.57		BSIS
S7503906F	Eli Pittman	eli.2016@smu.edu.sg	191.87	DD	BBM
G2988343B	Gabrielle Roman	gabrielle.2014@smu.edu.sg	192.15	DD	BBM
G5234570X	Charlene Chavez	charlene.2015@smu.edu.sg	192.24		BBM
S8946941J	Hashim Neal	hashim.2015@smu.edu.sg	192.35		BSS
S7818020O	Lucie Baxter	lucie.2017@smu.edu.sg	193.21		BSS
S2345678H	Faisal Farrow	faisal.2016@smu.edu.sg	193.45		BL
G9279908X	Mehak Vu	mehak.2015@smu.edu.sg	193.49		BL
G4837466F	Malaikah Price	malaikah.2017@smu.edu.sg	193.7	SM	BSS
G8564778L	Tiffany Wardle	tiffany.2016@smu.edu.sg	193.79		BSS
G7070532I	Ty Pritchard	ty.2014@smu.edu.sg	193.93	DD	BAcc
S9009408V	Yousif Snow	yousif.2017@smu.edu.sg	194.1		BL
S7226605E	Hallie Salt	hallie.2014@smu.edu.sg	194.34	DD	BSEcons
S7405784Z	Mack Pitts	mack.2017@smu.edu.sg	194.58	DD	BSEcons
S4515563F	Renee Sanford	renee.2014@smu.edu.sg	194.64		BAcc
G6806871D	Rikki Currie	rikki.2014@smu.edu.sg	194.88	SM	BSEcons
G1638584I	Minahil Swan	minahil.2014@smu.edu.sg	194.99		BSIS
G2704531B	Allegra Goodwin	allegra.2015@smu.edu.sg	195.22	SM	BSS
S4854810V	Eiliyah Wiley	eiliyah.2014@smu.edu.sg	195.31		BSIS
S6576219F	Usaamah Knott	usaamah.2014@smu.edu.sg	195.66		BBM
G6328825N	Courtney Byers	courtney.2016@smu.edu.sg	195.73		BL
S6202293P	Daniella Holman	daniella.2016@smu.edu.sg	196.05		BSEcons
S7573802M	Kathryn Wall	kathryn.2014@smu.edu.sg	196.43		BSIS
S4425875K	Sarah Calhoun	sarah.2016@smu.edu.sg	196.58		BSS
G8040684N	Ruby-Rose Wheatley	ruby-rose.2017@smu.edu.sg	196.81		BBM
S5273254N	Teegan Deleon	teegan.2015@smu.edu.sg	197.11		BBM
G1459200D	Ari Edwards	ari.2017@smu.edu.sg	197.33		BSS
G1788527I	Howard Wang	howard.2016@smu.edu.sg	197.52		BSS
G3817089Z	Atticus Corona	atticus.2014@smu.edu.sg	197.59	SM	BSEcons
S8294060P	Stuart Novak	stuart.2015@smu.edu.sg	197.92	SM	BSIS
S3204680F	Lacey-Mae Delarosa	lacey-mae.2014@smu.edu.sg	198.69		BL
G5666811A	Viktoria Woodcock	viktoria.2015@smu.edu.sg	198.7	SM	BAcc
G9798957M	Rosemarie Guthrie	rosemarie.2014@smu.edu.sg	198.77		BBM
S2458155I	Portia Wolfe	portia.2014@smu.edu.sg	199.1		BSS
S9942502Q	Nile Woodcock	nile.2016@smu.edu.sg	199.13	SM	BSEcons
S3677879U	Tiernan Hendrix	tiernan.2014@smu.edu.sg	350	DD	BL
S9591836B	Evie-Grace Conroy	evie-grace.2015@smu.edu.sg	199.53		BSEcons
S8827457G	Rhia Arias	rhia.2014@smu.edu.sg	200.21	SM	BAcc
G5636832X	Marissa Kidd	marissa.2017@smu.edu.sg	200.64		BL
S5446561G	Habiba Barber	habiba.2014@smu.edu.sg	200.71	SM	BSEcons
S5532926S	Sienna-Rose Wiggins	sienna-rose.2016@smu.edu.sg	201.65		BSIS
G7981261C	Ed Chambers	ed.2014@smu.edu.sg	202.02	DD	BSS
S9164085C	Rudi Tapia	rudi.2017@smu.edu.sg	202.64		BL
G9238433Q	Bobbie Greenaway	bobbie.2016@smu.edu.sg	202.92	DD	BAcc
S4632560C	Naya Rodriguez	naya.2016@smu.edu.sg	202.97		BAcc
G9243459H	Davina Battle	davina.2014@smu.edu.sg	203.06	SM	BSS
G7214406B	Gloria Fenton	gloria.2015@smu.edu.sg	203.12		BL
S7674000Z	Huxley Miles	huxley.2014@smu.edu.sg	203.51		BAcc
S7310264A	Ifrah Watts	ifrah.2017@smu.edu.sg	203.82	SM	BAcc
S4696628L	Maureen Harrington	maureen.2017@smu.edu.sg	204.26		BBM
G2193714K	Shakil Vang	shakil.2015@smu.edu.sg	204.42	SM	BBM
G2129118R	Kinga Vasquez	kinga.2015@smu.edu.sg	204.64		BBM
S3224820Y	Rafe Moss	rafe.2015@smu.edu.sg	204.74		BBM
G1940829M	Hubert Caldwell	hubert.2014@smu.edu.sg	204.76		BBM
G3420417D	Horace Stott	horace.2014@smu.edu.sg	205.24		BSS
S1832942I	Layton Richard	layton.2016@smu.edu.sg	205.38		BBM
G6426070Y	Emelie O'Gallagher	emelie.2014@smu.edu.sg	205.5	SM	BBM
S6355991D	Jonny Burnett	jonny.2016@smu.edu.sg	205.54	DD	BBM
G3991720E	Jax Lam	jax.2014@smu.edu.sg	205.58	SM	BAcc
S9966116D	Shuaib Campos	shuaib.2016@smu.edu.sg	205.62	SM	BSEcons
S6390340P	Aman Mellor	aman.2014@smu.edu.sg	205.66	SM	BSIS
S5992895V	Phebe Dillard	phebe.2014@smu.edu.sg	315	DD	BL
G8279016F	Ishan Shields	ishan.2016@smu.edu.sg	205.94		BBM
G2240626U	Arwel Coulson	arwel.2014@smu.edu.sg	300	DD	BSEcons
G8592381D	Nigel Sheppard	nigel.2015@smu.edu.sg	206.18		BSS
G2358509G	Myra Watt	myra.2014@smu.edu.sg	206.33	SM	BAcc
S9048648M	Alisha Blair	alisha.2014@smu.edu.sg	206.51	DD	BSS
G6771188F	Shauna Barron	shauna.2014@smu.edu.sg	206.61		BBM
S5090961Q	Omer Lamb	omer.2014@smu.edu.sg	206.69	SM	BSEcons
S5451042B	Arian Kline	arian.2014@smu.edu.sg	206.72	SM	BSEcons
S1546609H	Hollie Pratt	hollie.2014@smu.edu.sg	207.41	DD	BBM
G4718365T	Tj Tierney	tj.2014@smu.edu.sg	207.42		BAcc
G2684971P	Tristan Denton	tristan.2015@smu.edu.sg	208.08		BBM
G5020363X	Rogan Adams	rogan.2016@smu.edu.sg	208.42		BL
S6880471X	Benn Downs	benn.2016@smu.edu.sg	208.43		BL
S7418540U	Margot Nunez	margot.2014@smu.edu.sg	208.51	SM	BSEcons
S1243158J	Joni Bravo	joni.2014@smu.edu.sg	208.53		BBM
G8657349B	Jesse Stanley	jesse.2017@smu.edu.sg	208.6		BSEcons
S5940047D	Jane Allison	jane.2015@smu.edu.sg	208.64		BSS
G7542156L	Caprice Higgs	caprice.2014@smu.edu.sg	208.8		BL
S6934186Y	Diana Rangel	diana.2015@smu.edu.sg	208.89		BSS
G6478891Q	Zahid Henry	zahid.2016@smu.edu.sg	209.03	DD	BSIS
S5878885X	Cheyenne Winters	cheyenne.2016@smu.edu.sg	209.29	SM	BL
G7976847X	Zaara Bray	zaara.2014@smu.edu.sg	209.29	SM	BAcc
G2047915T	Tommy Tillman	tommy.2014@smu.edu.sg	209.56		BSIS
S8691008O	Antony Bradford	antony.2014@smu.edu.sg	209.59	SM	BSIS
G7222798S	Becky Rawlings	becky.2014@smu.edu.sg	210.32		BAcc
S1503654Q	Geraint Wills	geraint.2015@smu.edu.sg	210.49		BL
G8275276Q	Roshni Mason	roshni.2015@smu.edu.sg	210.63		BBM
G4498606U	Brendon Mill	brendon.2015@smu.edu.sg	210.89		BSS
S5531998N	Ciara Reader	ciara.2014@smu.edu.sg	211.18		BSIS
S6559942W	Aurelia Freeman	aurelia.2015@smu.edu.sg	211.25		BSIS
S4708425E	Aleena Maddox	aleena.2016@smu.edu.sg	211.35	SM	BAcc
S6958825L	Finnlay Craft	finnlay.2014@smu.edu.sg	211.42		BL
G5850702U	Kaidan Dunlop	kaidan.2017@smu.edu.sg	211.47		BL
G4239702K	Taslima Meyers	taslima.2015@smu.edu.sg	211.47		BSIS
S5325791H	Jo Handley	jo.2015@smu.edu.sg	211.55		BL
G2918774J	Zoha Stafford	zoha.2015@smu.edu.sg	212.21	SM	BAcc
S4994974W	Summer Edmonds	summer.2017@smu.edu.sg	212.31	SM	BAcc
G2503868U	Caspar Callaghan	caspar.2015@smu.edu.sg	212.72	DD	BSEcons
G7835950J	Ameer Griffith	ameer.2014@smu.edu.sg	213.1	DD	BSIS
S5319630V	Robin Mcbride	robin.2016@smu.edu.sg	213.15		BBM
S2736182H	Lexi-Mai Sheppard	lexi-mai.2015@smu.edu.sg	213.36	SM	BL
G6244526S	Umayr Velasquez	umayr.2014@smu.edu.sg	213.47	DD	BAcc
S2386743U	Kiki Khan	kiki.2014@smu.edu.sg	213.51	SM	BSIS
G6249098V	Ritik Salinas	ritik.2014@smu.edu.sg	260	DD	BSIS
G8573893I	Misbah Franks	misbah.2017@smu.edu.sg	213.84	SM	BSEcons
G8126505R	Kiara Parsons	kiara.2016@smu.edu.sg	213.85	SM	BSIS
G2211824R	Dahlia Stein	dahlia.2016@smu.edu.sg	275	DD	BSS
S5135946Q	Naima Proctor	naima.2014@smu.edu.sg	213.97		BBM
S8262914G	Hadassah Drake	hadassah.2017@smu.edu.sg	214.05		BSS
G8153175C	Suleman Barnes	suleman.2014@smu.edu.sg	214.29		BBM
S8433091M	Daisy Bailey	daisy.2015@smu.edu.sg	214.3		BBM
S1390969K	Octavia O'Doherty	octavia.2014@smu.edu.sg	214.34	DD	BBM
G4771343S	Aadil Hoffman	aadil.2015@smu.edu.sg	214.87		BSS
S2142614B	Letitia Farrell	letitia.2014@smu.edu.sg	215.14		BBM
G4043237I	Shyam Leal	shyam.2014@smu.edu.sg	215.26		BSIS
G7003610T	Quinn Wills	quinn.2016@smu.edu.sg	215.56		BBM
G6571781C	Steffan Whitney	steffan.2016@smu.edu.sg	215.57		BAcc
G7023596S	Falak Hawkins	falak.2014@smu.edu.sg	215.61		BSIS
S1551849C	Niko Buckley	niko.2014@smu.edu.sg	215.65		BL
G3081238Z	Mercedes Armitage	mercedes.2014@smu.edu.sg	215.69		BL
S3520907Z	Cheyanne Cantu	cheyanne.2015@smu.edu.sg	215.71	SM	BAcc
G2355439T	Ella-May Cline	ella-may.2014@smu.edu.sg	215.98		BSIS
S3067906R	Zayn Lake	zayn.2014@smu.edu.sg	216.03	SM	BSIS
G7795556W	Ivy Avalos	ivy.2016@smu.edu.sg	216.2	SM	BSS
G6125141S	Carole Molloy	carole.2014@smu.edu.sg	216.64	DD	BSS
S8460523N	Rocco Hanna	rocco.2014@smu.edu.sg	216.65	SM	BSEcons
S9243743T	Reema Harrington	reema.2014@smu.edu.sg	216.67	SM	BSS
S6159408C	Emily-Jane Keller	emily-jane.2015@smu.edu.sg	216.75	DD	BSEcons
G6260237Q	Demi Khan	demi.2014@smu.edu.sg	216.87		BL
G6926765B	Rupert Chen	rupert.2014@smu.edu.sg	216.9		BSIS
G1704764O	Cohan Rowley	cohan.2015@smu.edu.sg	216.92		BSIS
G5799259P	Kaila Medina	kaila.2015@smu.edu.sg	217.03	DD	BSEcons
G7751199R	Amira Serrano	amira.2017@smu.edu.sg	217.32		BL
S4247501R	Laurie Findlay	laurie.2014@smu.edu.sg	217.35	SM	BSIS
G1981720M	Julie Bryan	julie.2017@smu.edu.sg	217.39		BL
S6479878E	Shiv Parry	shiv.2017@smu.edu.sg	217.59	SM	BSIS
G5135710U	Morwenna Burch	morwenna.2017@smu.edu.sg	217.74	SM	BSS
S9579942U	Raife Sandoval	raife.2017@smu.edu.sg	217.95	SM	BAcc
S5202641F	Wesley Leblanc	wesley.2016@smu.edu.sg	217.95	SM	BSEcons
S8363030X	Ava-May Mcgregor	ava-may.2014@smu.edu.sg	217.98		BL
S5934802P	Kaia Mcknight	kaia.2016@smu.edu.sg	218.17		BBM
S3802134H	Keiran Hood	keiran.2014@smu.edu.sg	218.62		BSS
S9038161K	Aubrey Murillo	aubrey.2014@smu.edu.sg	218.88		BBM
G5558229P	Matthias Lynn	matthias.2014@smu.edu.sg	219.03		BSS
S9460202A	Emyr Hicks	emyr.2014@smu.edu.sg	219.21	SM	BAcc
S2619119P	Matteo Tillman	matteo.2017@smu.edu.sg	219.76		BSIS
S5363369N	Verity Gilliam	verity.2017@smu.edu.sg	220.05	SM	BSIS
S8794438L	Christopher Wright	christopher.2016@smu.edu.sg	220.21	SM	BAcc
S2758713I	Divine Cousins	divine.2015@smu.edu.sg	220.33	SM	BSS
S2223723J	Arooj Fletcher	arooj.2016@smu.edu.sg	250	DD	BSEcons
S8378052R	Tyron Wainwright	tyron.2017@smu.edu.sg	220.57		BSEcons
S2851404Y	Marta Young	marta.2014@smu.edu.sg	220.78		BBM
S9915700E	Yahya Bass	yahya.2014@smu.edu.sg	221.19	DD	BAcc
S6402487F	Kailan Duggan	kailan.2015@smu.edu.sg	228.12	DD	BBM
G3368759F	Ruby Bannister	ruby.2014@smu.edu.sg	221.63		BSIS
G7224770W	Kaiden Clegg	kaiden.2014@smu.edu.sg	221.79		BAcc
S8428424F	Kalvin Sheldon	kalvin.2014@smu.edu.sg	221.86		BSIS
S5877043O	Bella Bellamy	bella.2016@smu.edu.sg	221.89		BBM
S7432016O	Eleasha Irwin	eleasha.2016@smu.edu.sg	222.12		BSIS
G3784403G	Rukhsar Mathews	rukhsar.2014@smu.edu.sg	222.14	DD	BSEcons
S6257896X	Cali Carrillo	cali.2014@smu.edu.sg	222.49	SM	BSEcons
S4023340C	Kayson Mccullough	kayson.2014@smu.edu.sg	222.53		BSEcons
S6602353O	Edna Avila	edna.2015@smu.edu.sg	222.8		BSEcons
S9214614K	Jazmyn Anderson	jazmyn.2014@smu.edu.sg	222.92	SM	BL
G9259284A	Eleri Singh	eleri.2016@smu.edu.sg	223.07	SM	BL
G6221136A	Madeline Macias	madeline.2017@smu.edu.sg	223.23		BSEcons
S6668383V	Viktor Reilly	viktor.2017@smu.edu.sg	223.62		BBM
G2164672B	Tyla Mair	tyla.2014@smu.edu.sg	223.7	SM	BAcc
S7912763U	Blossom Higgins	blossom.2016@smu.edu.sg	223.81		BSIS
S5567700B	Emmanuella Patterson	emmanuella.2015@smu.edu.sg	223.88		BBM
S2998518U	Hanan Connolly	hanan.2014@smu.edu.sg	224.67	SM	BSIS
G6711660M	Aminah Ratcliffe	aminah.2017@smu.edu.sg	224.77	SM	BSS
S8236639E	Brandon-Lee Richmond	brandon-lee.2017@smu.edu.sg	340		BL
S1890607T	Pixie Cunningham	pixie.2015@smu.edu.sg	224.99	SM	BSEcons
G1878146N	Nada John	nada.2016@smu.edu.sg	225.22	SM	BSIS
G6438530H	Teegan Farrington	teegan.2014@smu.edu.sg	225.42		BBM
S1982423T	Shanelle Hahn	shanelle.2014@smu.edu.sg	225.47		BSIS
S7455476M	Craig Shelton	craig.2015@smu.edu.sg	225.5		BSIS
S5265547X	Anthony Brady	anthony.2014@smu.edu.sg	225.54	SM	BAcc
